Resource Title,Description ,Hyperlink 
Standford Protégé ,"
WebProtégé is a web-based ontology editor that supports collaborative viewing and editing of OWL 2 ontologies. There is nothing to install — it runs in your browser.

It supports sharing and permissions, threaded notes and discussions, watches and email notifications, and change tracking with full revision history. Ontologies can be uploaded and downloaded in RDF/XML, Turtle, OWL/XML, OBO, and other formats.",https://protege.stanford.edu/software/
NPS Monterey Phoenix ,"Monterey Phoenix (MP) is a Navy-developed language, approach, and tool for modeling and reasoning about system and process behaviors.

Why MP?
System and process designs are based on the set of scenarios we conceive of in advance. That set gets orders of magnitude larger with MP assistance. Lightweight formal methods are employed to generate far more use case scenario variants - more quickly and with less human error - than can be done manually. You will discover requirements you did not know you had until seeing examples of them not being met in the MP event traces.",https://nps.edu/web/monterey-phoenix
 A Knowledgeable Agent-oriented System,Allow for policies which are human expressible but machine enforceable permit effortless extension of policy vocabulary to suite domain needs and understanding of the domain only limited by the mapping to the business logic of the application. ,https://ontology.ihmc.us/index.html
"Rules as Code (RaC), Interoperable Europe","Official law and regulations interpreted or defined and published in a machine-consumable form. EU Commission EUGovTech collection. Names the three-step pathway (identify and publish, analyse and integrate, formalise and codify) and the multiple-implementation compliance risk this project's drift reporting catches. Reviewed 2026-08-08: ADAPTED.",https://interoperable-europe.ec.europa.eu/collection/eugovtech/news/rules-code-rac
"Digital-Ready Policymaking (DRPM), Interoperable Europe","The process of formulating digital-ready policies and legislation by taking digital aspects into account from the start of the policy cycle. Sits under the Interoperable Europe Act, Regulation (EU) 2024/903. Governs the authoring side, not the encoding side. Reviewed 2026-08-08: ADAPTED, no obligation attaches.",https://interoperable-europe.ec.europa.eu/collection/digital-ready-policymaking
NIST ocr-pipeline,"Convert a corpus of PDF to clean text files on a distributed architecture. Redis queue, master and workers, PDF to PNG to TXT with a cleaning stage. Python 2.7 and Ocropy, both end of life. Acquisition-side, so it belongs to GunnyBot. Reviewed 2026-08-08: NOT APPLICABLE to this repository. Cite the GitHub URL, not the code.nist.gov fragment.",https://github.com/usnistgov/ocr-pipeline
NIST Software Portal (code.nist.gov),"A hub for NIST open source projects, catalogued rather than hosted. The governing artifact is the NIST licensing statement: US Government work under 17 U.S.C. 105, AS-IS notice kept intact, modified versions carrying notice of change. Reviewed 2026-08-08: ADAPTED, and it surfaces an open GAP - this repository ships no LICENSE or NOTICE.",https://code.nist.gov/
NPS FAST,"Naval Postgraduate School subdomain supplied for review. Host refused automated retrieval on 2026-08-08 and no public documentation names the tool or expands the acronym. No verdict recorded. UNCONFIRMED, open.",https://fast.mfr.nps.edu/
Books24x7 title via UMGC EZproxy,"Authenticated library proxy link, bookID 166577. Resolves only for a signed-in UMGC account, so title and author are not recoverable. UNCONFIRMED, open. Rule: cite the book by title, author, publisher, year and ISBN, never the proxy URL.",http://ezproxy.umgc.edu/login?url=http://library.books24x7.com.ezproxy.umgc.edu/library.asp?%5EB&bookID=166577
EU Open Source Solutions Catalogue,"Catalogue of open source solutions created by and for European public services, aggregated from 12+ national platforms rather than hosted. 1,076 solutions, 54 pages, per-entry version, licence, and development status. Reviewed 2026-08-08: ADAPTED as a source, REJECTED as a dependency. No catalogued solution targets legislation markup or legal-rule encoding, and copyleft terms conflict with a 17 U.S.C. 105 public-domain target.",https://interoperable-europe.ec.europa.eu/eu-oss-catalogue/solutions
LEOS - Legislation Editing Open Software,"European Commission open source tool for drafting legislation, with online collaboration, version control and co-editing. Version 5.4.2, released 10 July 2026, Stable, EUPL-1.2, storing content as Akoma Ntoso V3 in the AKN4EU instantiation. Reviewed 2026-08-08: EVALUATE. Not a drop-in replacement for SemperScribe, which models MCO 5215.1K naval correspondence, and not a component of this repository, because EUPL copyleft and containerized deployment fail two reuse gates.",https://interoperable-europe.ec.europa.eu/eu-oss-catalogue/solutions/leos-core-0
